Age,Weight,Height,Muscle_Mass,Fitness_Level,Disabilities,BMI,Fitness_Goal,Training_Intensity
40,57.6,177.6,37.9,low,No,18.26,Muscle Gain,Low
33,61.6,160.8,31.9,moderate,No,23.83,Weight Loss,Moderate
42,81.2,178.7,35.2,high,No,25.43,Muscle Gain,High
53,79.2,183.6,45.2,moderate,No,23.49,Muscle Gain,High
32,69.7,174.1,36.5,moderate,No,22.98,Weight Loss,Moderate
32,71.8,188.8,35.4,moderate,No,20.14,Weight Loss,High
53,89.2,162.3,24.1,low,No,33.87,Muscle Gain,Low
44,61.1,157.6,41,low,No,24.62,Muscle Gain,High
29,78.2,152.2,40.2,moderate,No,33.76,Muscle Gain,Moderate
41,67,185,52.3,moderate,No,19.58,Muscle Gain,High
29,66.7,176.5,32.5,high,No,21.41,Muscle Gain,High
29,86.5,169.4,36.8,moderate,No,30.12,Weight Loss,Moderate
37,82.4,172.8,37,moderate,No,27.59,Weight Loss,Moderate
18,82.2,158.7,47.6,low,No,32.62,Weight Loss,Moderate
18,89.6,194.5,34.2,moderate,No,23.69,Muscle Gain,High
28,70.3,171.3,37.2,high,No,23.96,Weight Loss,High
22,80.2,171.1,39.9,high,No,27.41,Muscle Gain,High
38,65.3,177.3,36.5,high,No,20.8,Weight Loss,Moderate
24,74.9,174.8,31.4,moderate,Yes,24.5,Weight Loss,Moderate
18,68,172.2,36.6,high,No,22.94,Muscle Gain,High
52,71.5,162.1,43.6,moderate,Yes,27.2,Weight Loss,Low
32,78.9,174.7,26.8,moderate,No,25.86,Muscle Gain,Moderate
35,57.7,188.8,36.1,high,No,16.19,Weight Loss,Low
18,101.4,183.5,29.4,low,No,30.12,Muscle Gain,Low
28,54.9,185.9,44.6,moderate,No,15.88,Muscle Gain,High
36,51.8,164.9,22.8,moderate,No,19.05,Weight Loss,Moderate
21,87.4,160.1,30.5,low,No,34.09,Muscle Gain,Moderate
39,81.9,168.7,38,low,No,28.75,Weight Loss,Low
27,79.4,170.6,47.5,low,No,27.28,Muscle Gain,Moderate
31,79.4,180.9,34.5,moderate,No,24.26,Weight Loss,Moderate
27,69.8,153.1,30.6,moderate,No,29.8,Weight Loss,Moderate
57,56.5,185.3,50,moderate,No,16.47,Muscle Gain,Moderate
34,71.1,168.4,23.4,low,No,25.08,Muscle Gain,Moderate
22,59.8,165.7,20,low,No,21.79,Muscle Gain,High
44,84.6,159.9,38.5,low,No,33.11,Muscle Gain,Moderate
20,67.8,153.5,31,moderate,No,28.79,Muscle Gain,Moderate
37,57.6,178.2,26.8,high,Yes,18.14,Weight Loss,Low
18,65.2,170.7,40.7,high,No,22.36,Weight Loss,High
19,76.2,157.1,37,moderate,Yes,30.87,Weight Loss,Low
37,61.5,157,30.5,moderate,No,24.95,Weight Loss,Moderate
43,57.7,166.6,24.8,low,No,20.77,Weight Loss,Moderate
37,73.7,186.7,42,moderate,No,21.13,Weight Loss,High
33,73.7,167.4,40.2,moderate,Yes,26.29,Muscle Gain,Moderate
31,62.4,155,34.2,high,No,25.98,Weight Loss,Moderate
18,62.9,167.5,49.8,high,No,22.42,Weight Loss,High
26,73.5,167.3,26.4,low,No,26.26,Muscle Gain,Moderate
29,48.3,150,22.8,moderate,No,21.46,Muscle Gain,Moderate
47,48.9,169.5,29.5,moderate,No,17.02,Muscle Gain,Low
39,59.2,167.7,34.6,low,No,21.06,Muscle Gain,Moderate
18,66.8,177,36.9,high,No,21.33,Weight Loss,High
38,74.7,188.5,33.1,low,No,21.02,Muscle Gain,Moderate
30,92.1,181.3,37.8,high,No,28.04,Muscle Gain,High
26,82.9,167.3,25,low,No,29.6,Weight Loss,Low
42,67.6,158.9,46.6,moderate,Yes,26.76,Muscle Gain,Moderate
